wilayah;kecamatan;kelurahan;nama_halte;lokasi
Jakarta Timur;Pulo Gadung;Pulo Gadung;Pedongkelan;Jalan Perintis Kemerdekaan
Jakarta Timur;Pulo Gadung;Pulo Gadung;Pemuda Pramuka;Jembatan Penyebrangan Orang Pemuda Pramuka
Jakarta Timur;Pulo Gadung;Pulo Gadung;Pemuda Rawamangun;Jalan Pemuda
Jakarta Timur;Pulo Gadung;Pulo Gadung;Pulo Gadung;Jalan Bekasi Raya
Jakarta Timur;Pulo Gadung;Pulo Gadung;Kayu Jati;Jalan Pemuda
Jakarta Timur;Pulo Gadung;Pulo Gadung;Pemuda Merdeka;Jalan Pemuda
Jakarta Timur;Pulo Gadung;Pulo Gadung;Rawamangun;Jalan Pemuda
Jakarta Timur;Pulo Gadung;Pulo Gadung;Utan Kayu Rawamangun;Jalan Ahmad Yani
Jakarta Timur;Pulo Gadung;Pulo Gadung;Velodrome;Jalan Pemuda
Jakarta Timur;Pulo Gadung;Pulo Gadung;Pulo Mas Bypass;Jalan Ahmad Yani
Jakarta Timur;Pulo Gadung;Pulo Gadung;Pisangan;Jalan Ahmad Yani
Jakarta Timur;Cakung;Pulo Gebang;Pulo Gebang;Jalan Tol Lingkar Luar Jakarta
Kota Bekasi;Tarumajaya;Pusakarakyat;Transera Harapan Indah;Jalan Boulevard Harapan Indah
Jakarta Timur;Ciracas;Rambutan;Kampung Rambutan;Jalan Terminal Kampung Rambutan
Jakarta Timur;Kramat Jati;Rambutan;Pasar Induk;Jalan Raya Bogor
Jakarta Timur;Ciracas;Rambutan;Tanah Merdeka Arah Timur;Jalan Supriyadi
Kota Bekasi;Bekasi Barat;Rawa Panjang;Bekasi Barat;Jalan Ahmad Yani
Kota Bekasi;Bekasi Timur;Rawasemut;Terminal Bekasi;Jalan Insinyur Haji Juanda
Jakarta Timur;Cakung;Rawatrate;PTC Pulo Gadung;Jalan Bekasi Raya
